IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA33	IMA34	IMA35	IMA36	IMA37	IMA38	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Stickyhand_Choice	Background	Background	Background	Background	LightPurple_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	LightYellow_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	LightPurple_Choice	Background	Background	Background	Background	Spade_Choice	Stickyhand_Choice	Background	Background	Heart_Choice
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
Acorn	DarkBlue_Probe	Spike	Hat	Nail	Ditto	LightTurquiose	Ditto	Heart	Diamond	Hat	Dodecagon_Probe	Stickyhand	LightTurquiose_Probe	Star	DarkGreen	Puzzle_Probe	Bar	Jellyfish	LightYellow	Jellyfish	Star	DarkYellow_Probe	UpArrow	Venn	Stickyhand	DarkTurquiose_Probe	Pacman	LightGray_Probe	Spike	DarkGreen	Tie	LightPurple	Hat	Venn_Probe	LeftArrow	DarkGreen
