IMA9	IMA10	IMA11	IMA12	IMA13	IMA1	IMA2	IMA3	IMA4	IMA6	IMA7	IMA8
Puzzle_Choice	Heart_Choice	LightPurple_Choice	Spike_Choice	Acorn_Choice	Venn_Choice	Bell_Choice	LightTurquiose_Choice	Diamond_Choice	LightRed_Choice	Chevron_Choice	DarkTurquiose_Choice
Pacman_Probe	LightTurquiose_Probe	Pacman_Probe	LightGreen_Probe	Sawblade_Probe	Bell_Probe	DarkBlue_Probe	Heart_Probe	LightRed_Probe	UpArrow_Probe	UpArrow_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	LightTurquiose_Choice	Pacman_Choice	LightGreen_Choice	Sawblade_Choice	Bell_Choice	DarkBlue_Choice	Heart_Choice	LightRed_Choice	UpArrow_Choice	UpArrow_Choice	Hourglass_Choice
DarkRed_Probe	Diamond_Probe	UpArrow_Probe	Acorn_Probe	LightPurple_Probe	LightPurple_Probe	Sawblade_Probe	Bar_Probe	Star_Probe	Star_Probe	LightRed_Probe	Pacman_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed_Choice	Diamond_Choice	UpArrow_Choice	Acorn_Choice	LightPurple_Choice	LightPurple_Choice	Sawblade_Choice	Bar_Choice	Star_Choice	Star_Choice	LightRed_Choice	Pacman_Choice
Hat_Probe	Ditto_Probe	LightGreen_Probe	Nail_Probe	Stickyhand_Probe	Lock_Probe	Heart_Probe	LightGreen_Probe	Nail_Probe	LightPurple_Probe	Stickyhand_Probe	DarkYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Choice	Ditto_Choice	LightGreen_Choice	Nail_Choice	Stickyhand_Choice	Lock_Choice	Heart_Choice	LightGreen_Choice	Nail_Choice	LightPurple_Choice	Stickyhand_Choice	DarkYellow_Choice
Chevron_Probe	LightBlue_Probe	Bell_Probe	LightGray_Probe	Hat_Probe	Tie_Probe	DarkYellow_Probe	Pacman_Probe	LightGray_Probe	Hourglass_Probe	Hourglass_Probe	Hat_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Chevron_Choice	LightBlue_Choice	Bell_Choice	LightGray_Choice	Hat_Choice	Tie_Choice	DarkYellow_Choice	Pacman_Choice	LightGray_Choice	Hourglass_Choice	Hourglass_Choice	Hat_Choice
LightBlue_Probe	Bar_Probe	Lock_Probe	Stickyhand_Probe	LightTurquiose_Probe	LightGray_Probe	Spade_Probe	Rabbit_Probe	House_Probe	Stickyhand_Probe	DarkGreen_Probe	House_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	Bar_Choice	Lock_Choice	Stickyhand_Choice	LightTurquiose_Choice	LightGray_Choice	Spade_Choice	Rabbit_Choice	House_Choice	Stickyhand_Choice	DarkGreen_Choice	House_Choice
UpArrow_Probe	Crowbar_Probe	DarkBlue_Probe	Hourglass_Probe	House_Probe	Rabbit_Probe	LeftArrow_Probe	DarkPurple_Probe	Lock_Probe	LightYellow_Probe	LeftArrow_Probe	LightYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow_Choice	Crowbar_Choice	DarkBlue_Choice	Hourglass_Choice	House_Choice	Rabbit_Choice	LeftArrow_Choice	DarkPurple_Choice	Lock_Choice	LightYellow_Choice	LeftArrow_Choice	LightYellow_Choice
Star_Probe	DarkGreen_Probe	Tie_Probe	LightPurple_Probe	Bar_Probe	Gem_Probe	DarkGreen_Probe	House_Probe	DarkGreen_Probe	Venn_Probe	Nail_Probe	Lock_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Star_Choice	DarkGreen_Choice	Tie_Choice	LightPurple_Choice	Bar_Choice	Gem_Choice	DarkGreen_Choice	House_Choice	DarkGreen_Choice	Venn_Choice	Nail_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
