IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA33	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Tie	LightGray	Sawblade	Puzzle	Jellyfish	LightBlue	Stickyhand_Probe	DarkRed	Sawblade	Spike_Probe	Hourglass	Star	DarkBlue_Probe	LeftArrow	LightRed	Bar_Probe	Hat	UpArrow	Heart_Probe	LightPurple_Probe	Acorn	Pacman	DarkGray	Hourglass	Bar	DarkGreen	LeftArrow	LightYellow_Probe	Lock	Diamond	Heart	DarkTurquiose
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Stickyhand_Choice	Background	Background	Spike_Choice	Background	Background	DarkBlue_Choice	Background	Background	Bar_Choice	Background	Background	Heart_Choice	LightPurple_Choice	Background	Background	Background	Background	Background	Background	Background	LightYellow_Choice	Background	Background	Background	Background
Rabbit	Gem	DarkBlue	Jellyfish	LightPurple	Puzzle	Hourglass	Chevron	LightYellow	House_Probe	Pacman	LightPurple	Hat	Bar_Probe	Heart	LightTurquiose_Probe	Star	Heart	DarkRed	Puzzle	Rabbit	LightBlue	Star	LightYellow_Probe	DarkGray	Spade	Hat	House	DarkGray	Jellyfish_Probe	DarkTurquiose	Puzzle
